umur,panjang,warna,akar,kelembaban,kualitas
2,9.3,Putih Kekuningan,Pendek,Normal,Sedang
6,5.1,Putih,Pendek,Normal,Sedang
3,8.0,Putih,Sedang,Normal,Baik
5,5.9,Kuning,Sedang,Normal,Sedang
3,9.0,Putih,Sedang,Normal,Sedang
4,6.4,Putih,Panjang,Normal,Baik
2,9.2,Kuning,Pendek,Rendah,Sedang
4,9.3,Putih,Panjang,Normal,Baik
2,8.8,Putih,Pendek,Normal,Sedang
6,5.3,Coklat,Pendek,Tinggi,Buruk
5,7.1,Putih Kekuningan,Sedang,Normal,Baik
5,7.0,Putih,Panjang,Tinggi,Baik
6,5.9,Putih,Pendek,Normal,Sedang
6,6.5,Kuning,Pendek,Tinggi,Buruk
4,7.6,Putih Kekuningan,Panjang,Normal,Baik
5,8.2,Putih,Panjang,Normal,Baik
3,10.0,Putih,Panjang,Normal,Baik
3,6.6,Putih,Panjang,Normal,Baik
5,10.0,Putih,Sedang,Normal,Baik
5,9.0,Putih,Panjang,Normal,Baik
4,6.0,Putih,Panjang,Tinggi,Baik
6,10.4,Kuning,Sedang,Tinggi,Sedang
3,5.5,Putih Kekuningan,Panjang,Tinggi,Sedang
7,5.7,Kuning,Pendek,Tinggi,Buruk
6,4.9,Kuning,Pendek,Rendah,Buruk
2,10.9,Kuning,Pendek,Normal,Sedang
6,5.6,Kuning,Panjang,Rendah,Sedang
7,10.1,Kuning,Panjang,Tinggi,Buruk
7,6.2,Coklat,Pendek,Rendah,Buruk
4,6.1,Putih,Sedang,Normal,Baik
2,6.0,Putih Kekuningan,Sedang,Normal,Sedang
4,8.8,Putih Kekuningan,Panjang,Normal,Sedang
6,8.2,Putih Kekuningan,Sedang,Rendah,Sedang
3,8.6,Putih,Panjang,Normal,Baik
2,4.9,Kuning,Sedang,Normal,Sedang
3,8.1,Putih,Sedang,Normal,Baik
3,7.8,Putih,Sedang,Normal,Baik
2,12.2,Kuning,Pendek,Tinggi,Buruk
3,10.1,Putih Kekuningan,Pendek,Rendah,Sedang
4,7.1,Putih,Panjang,Normal,Baik
6,8.8,Putih,Pendek,Normal,Sedang
3,8.3,Putih,Panjang,Normal,Baik
6,10.5,Kuning,Pendek,Normal,Sedang
2,11.0,Kuning,Pendek,Rendah,Buruk
5,7.0,Putih,Sedang,Normal,Baik
6,6.6,Putih,Pendek,Tinggi,Sedang
3,6.2,Putih Kekuningan,Panjang,Tinggi,Sedang
4,9.7,Putih Kekuningan,Sedang,Normal,Baik
2,3.2,Kuning,Panjang,Rendah,Buruk
2,11.3,Coklat,Panjang,Rendah,Buruk
5,8.8,Putih,Sedang,Normal,Baik
2,10.6,Putih Kekuningan,Sedang,Normal,Sedang
7,8.0,Coklat,Panjang,Rendah,Buruk
3,9.0,Putih,Panjang,Rendah,Sedang
